data_name, n_samples, scenario, cf_label, trial, fold1 , fold2 , fold3 , fold4 , fold5 , avg_ate , tp_model_name, tp_loss_name, tp_n_epochs, tp_batch_size, tp_patience, tp_scheduler_patience, tp_scheduler_factor, tp_n_splits, tp_network_depth, tp_network_width, tp_use_u_statistic, tp_kernel_gamma, tp_learning_rate     , tp_l2_penalty
sgd      ,      5000,        1, sgd_cf  ,    13, 2.0212, 1.9321, 2.0154, 1.9595, 1.9895, 1.983535, nmmr_h       , V_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               55, False             ,             1.0, 0.0012879139533629972, 1.8615523437173968e-06
sgd      ,      5000,        1, sgd_cf  ,    14, 2.1587, 2.0756, 2.1701, 2.0808, 2.0955, 2.116147, nmmr_h       , V_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               55, False             ,             1.0, 0.0012879139533629972, 1.8615523437173968e-06
sgd      ,      5000,        1, sgd_cf  ,    15, 2.0341, 2.1254, 2.0312, 2.1003, 2.1216, 2.08251 , nmmr_h       , V_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               55, False             ,             1.0, 0.0012879139533629972, 1.8615523437173968e-06
sgd      ,      5000,        1, sgd_cf  ,    16, 2.068 , 2.0869, 2.0651, 2.0558, 2.0771, 2.070568, nmmr_h       , V_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               55, False             ,             1.0, 0.0012879139533629972, 1.8615523437173968e-06
sgd      ,      5000,        1, sgd_cf  ,    17, 2.0641, 2.0611, 1.9751, 2.1193, 2.0075, 2.045427, nmmr_h       , V_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               55, False             ,             1.0, 0.0012879139533629972, 1.8615523437173968e-06
sgd      ,      5000,        1, sgd_cf  ,    18, 2.0046, 2.0404, 2.06  , 2.0616, 2.1144, 2.056199, nmmr_h       , V_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               55, False             ,             1.0, 0.0012879139533629972, 1.8615523437173968e-06
sgd      ,      5000,        1, sgd_cf  ,    19, 2.1121, 2.057 , 2.0968, 2.0011, 2.0902, 2.071449, nmmr_h       , V_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               55, False             ,             1.0, 0.0012879139533629972, 1.8615523437173968e-06
sgd      ,      5000,        1, sgd_cf  ,    20, 2.1564, 2.1138, 2.1222, 2.106 , 2.1855, 2.136786, nmmr_h       , V_statistic ,         150,           500,          30,                    15,                 0.5,           5,                4,               55, False             ,             1.0, 0.0012879139533629972, 1.8615523437173968e-06
sgd      ,      5000,        1, sgd_cf  ,     1, 1.9822, 2.0421, 2.5734, 3.1005, 2.6341, 2.466473, nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
sgd      ,      5000,        1, sgd_cf  ,     2, 1.9101, 1.686 , 2.7429, 2.0132, 1.906 , 2.051641, nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
sgd      ,      5000,        1, sgd_cf  ,     3, 2.1501, 2.1604, 2.2288, 2.4363, 1.3841, 2.071934, nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
sgd      ,      5000,        1, sgd_cf  ,     4, 2.6155, 1.6337, 1.6462, 2.4474, 2.7625, 2.221046, nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
sgd      ,      5000,        1, sgd_cf  ,     5, 2.188 , 2.0355, 2.1094, 2.3821, 2.1285, 2.168693, nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
sgd      ,      5000,        1, sgd_cf  ,     6, 1.9132, 2.1843, 2.6618, 1.4321, 1.5076, 1.93982 , nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
sgd      ,      5000,        1, sgd_cf  ,     7, 1.5543, 2.2587, 2.6528, 2.6351, 1.1502, 2.050201, nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
sgd      ,      5000,        1, sgd_cf  ,     8, 1.3905, 2.494 , 2.2319, 1.8262, 1.7658, 1.941687, nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
sgd      ,      5000,        1, sgd_cf  ,     9, 2.3573, 1.6325, 2.4981, 2.7801, 1.4912, 2.15184 , nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
sgd      ,      5000,        1, sgd_cf  ,    10, 1.8925, 1.3455, 0.9822, 1.6226, 3.5959, 1.887733, nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
sgd      ,      5000,        1, sgd_cf  ,    11, 2.4351, 1.6924, 1.6598, 3.1221, 2.4565, 2.273162, nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
