data_name,n_samples,scenario,cf_label,trial,fold1,fold2,fold3,fold4,fold5,avg_ate,tp_model_name,tp_loss_name,tp_n_epochs,tp_batch_size,tp_patience,tp_scheduler_patience,tp_scheduler_factor,tp_n_splits,tp_network_depth,tp_network_width,tp_use_u_statistic,tp_kernel_gamma,tp_learning_rate,tp_l2_penalty
sgd,5000,1,sgd_cf,6,2.0581,1.5837,1.8867,2.5193,1.8237,1.974314,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,7,2.2033,1.8392,2.6581,2.6473,2.3539,2.340366,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,8,1.9298,1.2655,2.2706,2.9115,1.8961,2.054697,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,9,2.4224,1.7465,2.8126,1.2726,2.1593,2.082689,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,10,1.9738,2.2153,2.2993,2.4816,2.1907,2.232164,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,11,2.7954,2.0875,1.5731,3.392,1.6761,2.304822,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,12,1.2346,1.9374,2.7253,2.6458,2.4131,2.191229,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,13,2.2553,2.7513,1.2224,2.0847,1.9473,2.052208,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,14,2.2031,2.8319,3.0189,1.9161,1.1942,2.232841,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,15,2.8037,1.7313,1.697,2.3802,2.4409,2.210608,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,16,2.3406,2.7159,2.367,1.6127,1.0982,2.02687,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,17,1.6801,2.3812,2.0227,2.6797,2.0297,2.15868,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,18,1.4052,1.5441,2.9303,2.2151,1.9394,2.006831,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,19,3.3817,1.3986,1.9213,2.5665,1.8415,2.221925,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,20,1.6187,3.5017,1.5751,2.0926,2.8942,2.336464,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,1,1.9981,2.5876,2.5111,2.5802,1.736,2.282576,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,2,2.2326,2.4542,1.8852,2.2903,2.1794,2.208354,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,3,2.3677,2.0628,1.4712,2.5294,1.9514,2.076499,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,4,1.7238,2.4644,1.9694,1.933,2.5542,2.128995,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,5,2.0045,1.6508,1.4913,3.2891,2.1813,2.123403,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,6,1.7044,2.5513,3.2183,1.8138,2.2537,2.308294,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,7,1.6296,2.4789,2.2363,1.6693,2.5341,2.109622,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,8,2.6457,1.7961,2.6166,1.6492,1.9343,2.128385,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,9,1.4189,2.4603,3.2523,1.0818,2.8517,2.212996,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,10,1.3408,2.6681,2.7713,1.2733,1.9225,1.995215,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
