POR_s1            , PIPW_s1           , PDR_s1            , POR_s2            , PIPW_s2           , PDR_s2            , POR_s3            , PIPW_s3           , PDR_s3            , POR_s4            , PIPW_s4           , PDR_s4
1.9932325401913054, 1.9946191718946422, 1.9946191718946422, 2.158831470289499 , 2.16325554010297  , 2.16325554010297  , 1.9804889197927706, 1.986483808884789 , 1.9864838088847916, 2.2848229436862013, 2.2827073899440817, 2.282707389944082
1.9800514770386501, 1.9808122009854094, 1.9808122009854094, 1.95281332365731  , 1.9838112486244277, 1.9838112486244277, 1.9643659868301635, 1.9643797932935347, 1.9643797932935347, 2.158809816894724 , 2.1478003383075635, 2.1478003383075595
2.01899822637857  , 2.020954509342059 , 2.020954509342059 , 2.002220306793987 , 1.9926236483638113, 1.992623648363811 , 2.023675570590199 , 2.0268440928353364, 2.0268440928353284, 2.183112349501286 , 2.1692718891368905, 2.169271889136888
1.9608651302469   , 1.9677070481842414, 1.9677070481842414, 1.90915471621193  , 1.933062716172661 , 1.9330627161726603, 1.9542769672274953, 1.958728086152047 , 1.9587280861520533, 2.143817011601243 , 2.1545730246894714, 2.1545730246894688
2.001550792911498 , 2.002733486260769 , 2.0027334862607686, 1.7568798481652266, 1.7667030051616202, 1.766703005161619 , 1.997796123160906 , 1.981848443636186 , 1.981848443636186 , 2.0620592435259084, 2.0618697825713723, 2.061869782571374
1.9856100659525553, 1.9848270480604326, 1.9848270480604326, 1.8746042105301797, 1.8903848253105304, 1.8903848253105304, 2.0047728916098224, 2.0008274485955786, 2.00082744859558  , 2.0961341487452074, 2.1172223457951382, 2.117222345795139
2.001747416914104 , 2.002074690077222 , 2.002074690077222 , 1.958039843743606 , 1.9644254219486403, 1.964425421948641 , 1.9929474387871264, 2.0129589960080443, 2.01295899600805  , 2.158259894905896 , 2.171680706032738 , 2.1716807060327357
2.032662393646861 , 2.0350291674309084, 2.0350291674309084, 2.127168117466965 , 2.1259181282188195, 2.12591812821882  , 2.040444880667046 , 2.0465577631538063, 2.0465577631538086, 2.210769164043114 , 2.2050786383037386, 2.2050786383037404
2.01414800425891  , 2.016384273301793 , 2.0163842733017927, 2.0669629531568177, 2.0718596466028454, 2.0718596466028454, 2.0165540470002163, 2.0196376590643457, 2.019637659064348 , 2.2034259318084537, 2.205173861779782 , 2.2051738617797807
1.9915013009931037, 1.9926171515471924, 1.9926171515471924, 1.871223233218345 , 1.870157023598229 , 1.870157023598229 , 2.005251469313145 , 2.0132399847478655, 2.013239984747871 , 2.087642684679871 , 2.1007370192272377, 2.100737019227243
